"CHANGENUMBER","DATE","DOCUMENTNUMBER","OFFICE","TITLE"
"","2016-01-04T05:00:00Z","120-106A","AFS-300","Scope and Recommended Content for a Contractual Agreement Between an Air Carrier and a Maintenance Provider"
"","2016-12-06T05:00:00Z","20-167A","AIR-130","Airworthiness Approval of Enhanced Vision System, Synthetic Vision System, Combined Vision System, and Enhanced Flight Vision System Equipment"
"","2017-04-11T05:00:00Z","120-72A","AFS-300","Maintenance Human Factors Training"
"","2017-10-12T05:00:00Z","36-4D","AEE-100","Noise Standards:  Aircraft Type and Airworthiness Certification"
"","2016-02-03T05:00:00Z","25.857-1","ANM-112","Class B and F Cargo Compartments"
"","2016-02-03T05:00:00Z","25.851-1","ANM-112","Built-in Fire Extinguishing/Suppression Systems in Class C and Class F Cargo Compartments"
"","2018-09-24T05:00:00Z","20-53C","AIR-600","Protection of Aircraft Fuel Systems Against Vapor Ignition Caused by Lightning"
"","2018-12-14T05:00:00Z","8260-32F","AFS-300","United States Air Force Terminal Instrument Procedures Service"
"","2015-12-09T05:00:00Z","91-63D","AJV-1","Temporary Flight Restrictions (TFR) and Flight Limitations"
"","2017-09-12T05:00:00Z","141-1B","AFS-800","Part 141 Pilot Schools, Application, Certification, and Compliance"
"1","2016-08-17T05:00:00Z","43-210A","AFS-300","Standardized Procedures for Obtaining Approval of Data Used in the Performance of Major Repairs and Major Alterations - Change 1"
"","2014-02-12T05:00:00Z","00-60B","AFS-800","North American Free Trade Agreement and Specialty Air Services Operations"
"","2017-12-21T05:00:00Z","90-80C","AFS-400","Approval of Offshore Standard Approach Procedures, Airborne Radar Approaches, and Helicopter En Route Descent Areas"
"","2017-12-20T05:00:00Z","120-117","AAM-800","Voluntary Disclosure Reporting Program for Apparent Violations of the Drug and Alcohol Testing Regulations"
"","2022-09-26T05:00:00Z","187-1R","AFS-50","Flight Standards Service Schedule of Charges Outside the United States"
"","2021-07-27T05:00:00Z","450.108-1","AST-1","Flight Abort Rule Development"
"","2021-09-01T05:00:00Z","120-121","AFS-200","Safety Risk Management Involving Items in Aircraft Cargo Compartments"
"0","2021-12-16T05:00:00Z","150/5345-26E","AAS-100","FAA Specification for L-823 Plug and Receptacle, Cable Connectors"
"0","2023-01-05T05:00:00Z","150/5390-2D","AAS-100","Heliport Design"
"","2022-11-28T05:00:00Z","25.353-1","AIR-600","Rudder Control Reversal Conditions"
"","2015-12-21T05:00:00Z","20-149B","AIR-100","Installation Guidance for Domestic Flight Information Service- Broadcast"
"","2021-08-23T05:00:00Z","119-2A","AFS-300","Operational Use of Radio Frequency Identification Systems Onboard Aircraft"
"","2022-01-25T05:00:00Z","120-85B","AFS-200","Carriage of Cargo"
"0","2021-04-13T05:00:00Z","150/5220-23A","AAS-100","Frangible Connections"
"","2023-04-03T05:00:00Z","33.76-1B","AIR-624","Bird Ingestion Certification Standards"
"0","1978-07-19T05:00:00Z","20-104","AIR-120","Revised Powerplant Engineering Report No. 3A Standard Fire Test Apparatus and Procedure (for Flexible Hose Assemblies)"
"0","2004-07-08T05:00:00Z","20-65A","AIR-200","U.S. AIRWORTHINESS CERTIFICATES AND AUTHORIZATIONS FOR OPERATION OF DOMESTIC AND FOREIGN AIRCRAFT"
"1","2005-04-18T05:00:00Z","20-97B","AFS-300","Aircraft Tire Maintenance and Operational Practices with Change 1"
"0","1992-12-21T05:00:00Z","21.17-3","AIR-110","Type Certification of Very Light Airplanes Under FAR 21.17(b)"
"0","1970-05-14T05:00:00Z","20-69","AIR-120","Conspicuity of Aircraft Instrument Malfunction Indicators"
"0","1992-10-15T05:00:00Z","91-62A","AIR-120","Use of Child Seats in Aircraft"
"0","2007-01-19T05:00:00Z","20-157","AIR-120","How to Prepare Reliability Assessment Plans for Aircraft Systems and Equipment"
"0","1984-08-24T05:00:00Z","21-21","ACE-100","Use of Automobile Gasoline in Agricultural Aircraft"
"0","1997-03-25T05:00:00Z","20-128A","ANM-114","Design Considerations for Minimizing Hazards caused by Uncontained Turbine Engine and Auxiliary Power Unit Rotor Failure"
"0","2007-04-06T05:00:00Z","150/5345-45C","AAS-100","Low-Impact Resistant (LIR) Structures"
"0","2006-08-16T05:00:00Z","20-73A","AIR-120","Aircraft Ice Protection"
"0","1985-09-30T05:00:00Z","20-88A","ANM-110","Guidelines on the Marking of Aircraft"
"0","1982-12-03T05:00:00Z","20-117","AFS-200","Hazards Following Ground Deicing and Ground Operations in Conditions Conducive to Aircraft Icing"
"0","2004-07-08T05:00:00Z","150/5210-6D","AAS-100","Aircraft Fire Extinguishing Agents"
"0","1997-12-01T05:00:00Z","21.25-1","ACE-111","Issuance of Type Certificate: Restricted Category Agricultural Airplanes"
"0","2007-01-04T05:00:00Z","150/5190-6","ACO-100"," Exclusive Rights at Federally Obligated Airports"
"0","1984-12-20T05:00:00Z","20-123","AFS-330","Avoiding or Minimizing Encounters with Aircraft Equipped with Depleted Uranium Balance Weights during Accident Investigations"
"0","2007-04-20T05:00:00Z","437.55-1","AST-1","Hazard Analysis for the Launch or Reentry of a Reusable Suborbital Rocket Under an Experimental Permit"
"0","2000-06-14T05:00:00Z","23-18","ACE-100","Installation of Terrain Awareness and Warning System (TAWS) Approved for Part 23 Airplanes"
"0","2004-11-17T05:00:00Z","21-23B","AIR-40","Airworthiness Certification of Civil Aircraft, Engine, Propellers, and Related Products Imported to the United States"
"0","1993-03-29T05:00:00Z","20-131A","ANM-110","Airworthiness Approval of Traffic Alert and Collision Avoidance Systems (TCAS II) and Mode S Transponders"
"0","1993-06-04T05:00:00Z","21-34","AIR-120","Shoulder Harness-Safety Belt Installations"
"0","2004-11-10T05:00:00Z","150/5070-7","APP-400","The Airport System Planning Process"
"0","1977-06-29T05:00:00Z","91-48","AFS-820","Acrobatics-Precision Flying with a Purpose"
"0","1987-06-04T05:00:00Z","91-66","AFS-840","Noise Abatement for Helicopters"
"0","1992-02-25T05:00:00Z","91-68","AFS-820","Pilot Qualification and Operation of all Surplus Military Turbine-Powered Airplanes"
"0","1987-03-19T05:00:00Z","121-28","ACS-120","Preparation and Loading of Magnetron Magnetic Materials for Air Transportation"
"0","1977-09-21T05:00:00Z","20-100","AIR-120","General Guidelines for Measuring Fire-Extinguishing Agent Concentrations in Powerplant Compartments"
"1","1992-09-25T05:00:00Z","21.17-1A","ACE-100","Type Certification-Airships"
"0","2005-09-29T05:00:00Z","23-13A","ACE-100","Fatigue, Fail-Safe, and Damage Tolerance Evaluation of Metallic Structure for Normal, Utility, Acrobatic, and Commuter Category Airplanes"
"0","1987-03-09T05:00:00Z","20-118A","ACE-100","Emergency Evacuation Demonstration"
"0","2007-04-30T05:00:00Z","23-19A","ACE-100","Airframe Guide for Certification of Part 23 Airplanes"
"0","1985-06-20T05:00:00Z","21-22","AIR-120","Injury Criteria for Human Exposure to Impact"
"0","1996-06-13T05:00:00Z","91-71","AFS-820","Operation of Hot Air Balloons with Airborne Heaters"
"0","1987-11-02T05:00:00Z","25-12","ANM-110","Airworthiness Criteria for the Approval of Airborne Windshear Warning Systems in Transport Category"
"0","1966-01-05T05:00:00Z","121-6","AIR-110","Portable Battery-Powered Megaphones"
"0","1994-01-06T05:00:00Z","25-18","ANM-114","Transport Category Airplanes Modified for Cargo Service"
"0","2006-01-12T05:00:00Z","121-33B","AFS-220","Emergency Medical Equipment"
"0","1998-06-15T05:00:00Z","20-105B","AFS-340","Reciprocating Engine Power-Loss Accident Prevention and Trend Monitoring"
"0","2002-12-31T05:00:00Z","121-36","AFS-200","Management of Passengers who may be Sensitive to Allergens"
"0","2005-11-21T05:00:00Z","121-32A","AFS-220","Dispatch Resource Management Training"
"0","1980-10-16T05:00:00Z","43-2B","AFS-343","Minimum Barometry for Calibration and Test of Atmospheric Pressure Instruments"
"2","2006-07-10T05:00:00Z","145-4A","AFS-309","Inspection, Retread, Repair, and Alterations of Aircraft Tires - Including Change 2"
"0","1977-09-16T05:00:00Z","121-25","AFS-224","Additional Weather Information: Domestic and Flag Air Carriers"
"0","1986-02-12T05:00:00Z","36-2C","AEE-110","Measured or Estimated (Uncertificated) Airplane Noise Levels"
"0","1994-09-30T05:00:00Z","121-31","AFS-220","Flight Crew Sleeping Quarters and Rest Facilities"
"0","2004-09-28T05:00:00Z","150/5020-2","AEE-100","Guidance on the Balanced Approach to Noise Management"
"0","2003-08-13T05:00:00Z","33.28-2","ANE-110","Guidance Material for 14 CFR 33.28, Reciprocating Engine, Electrical and Electronic Engine Control Systems"
"0","1999-08-27T05:00:00Z","33.4-1","ANE-110","Instructions for Continued Airworthiness"
"0","1993-01-08T05:00:00Z","25.773-1","ANM-111","Pilot Compartment View Design Considerations"
"0","2003-04-01T05:00:00Z","61-134","AFS-800","General Aviation Controlled Flight into Terrain Awareness"
"0","1987-01-30T05:00:00Z","65-2D","AFS-300","Airframe and Powerplant Mechanics Certification Guide"
"0","2007-09-20T05:00:00Z","150/5345-13B","AAS-100","Specification for L-841 Auxiliary Relay Cabinet Assembly for Pilot Control of Airport Lighting Circuits"
"0","2006-09-29T05:00:00Z","150/5370-13A","AAS-100","Off-Peak Construction of Airport Pavements Using Hot-Mix Asphalt"
"0","1990-08-08T05:00:00Z","210-5B","ATM-400","Military Flying Activities"
"0","1981-02-13T05:00:00Z","170-6C","ASM-500","Use of Radionavigation Land Test Station and Signal Generators"
"0","1996-11-08T05:00:00Z","91-72","AFS-820","Waivers of Provisions of Title 14 of the Code of Federal Regulations Part 91"
"1","2005-12-12T05:00:00Z","20-154","AFS-300","Guide for Developing a Receiving Inspection System for Aircraft Parts and Material - Change 1"
"0","1986-08-04T05:00:00Z","91-65","AFS-820","Use of Shoulder Harness in Passenger Seats"
"0","2005-07-29T05:00:00Z","150/5070-6B","APP-400","Airport Master Plans"
"0","2003-06-25T05:00:00Z","91-75","AFS-400","Attitude Indicator"
"0","1998-11-13T05:00:00Z","00-59","AND-710","Integrating Helicopter and Tiltrotor Assets into Disaster Relief Planning"
"0","1991-04-05T05:00:00Z","25-16","ANM-111","Electrical Fault and Fire Prevention and Protection"
"0","1976-10-20T05:00:00Z","20-43C","AFS-340","Aircraft Fuel Control"
"0","2003-08-06T05:00:00Z","25.613-1","ANM-115","Material Strength Properties and Material Design Values"
"1","2006-06-23T05:00:00Z","120-54A","AFS-280","Advanced Qualification Program - (Change 1)"
"0","1992-07-30T05:00:00Z","170-14","ASM-500","Implementation of 50 kHz/Y Channels for ILS/VOR/DME"
"0","1981-05-30T05:00:00Z","135-9","AFS-220","FAR Part 135 Icing Limitations"
"0","1994-12-14T05:00:00Z","135-17","AFS-250","Pilot Guide - Small Aircraft Ground Deicing (pocket)"
"0","1993-03-17T05:00:00Z","25.703-1","ANM-111","Takeoff Configuration Warning Systems"
"0","1992-07-29T05:00:00Z","25.963-1","ANM-112","Fuel Tank Access Covers"
"0","2004-01-22T05:00:00Z","120-51E","AFS-210","Crew Resource Management Training"
"0","1972-01-18T05:00:00Z","20-29B","ANE-100","Use of Aircraft Fuel Anti-icing Additives"
"0","1994-08-25T05:00:00Z","90-67B","ATP-129","Light Signals from the Control Tower for Ground Vehicles, Equipment, and Personnel"
"0","2005-04-25T05:00:00Z","25.783-1A","ANM-115","Fuselage Doors and Hatches"
"0","1993-02-02T05:00:00Z","25.1523-1","ANM-111","Minimum Flightcrew"
"0","1994-09-12T05:00:00Z","120-62","AFS-210","Takeoff Safety Training Aid"
"0","1976-04-21T05:00:00Z","145-2","AFS-340","Repair Station Limited Ratings Beech 18 Series Aircraft"
"0","1979-09-24T05:00:00Z","135.169-1","AIR-110","Small Propeller-Driven Air Taxi Airplanes that meet Sections 135.169 (formerly 135.144)"
"0","1997-07-24T05:00:00Z","25.812-2","ANM-114","Floor Proximity Emergency Escape Path Marking Systems Incorporating Photoluminescent Elements"
"0","2001-05-25T05:00:00Z","25.723-1","ANM-110","Shock Absorption Tests"
"0","1990-06-18T05:00:00Z","33-5","ANE-110","Turbine Engine Rotor Blade Containment/Durability"
"0","2001-06-06T05:00:00Z","120-44A","AFS-203","Air Carrier First Aid Programs"
"0","1992-04-09T05:00:00Z","90-50D","ASR-520","Requirements for 760-Channel VHF Radio for Aeronautical Operations"
"0","2006-09-14T05:00:00Z","150/5345-5B","AAS-100","Circuit Selector Switch"
"0","1984-01-30T05:00:00Z","103-7","AFS-820","The Ultralight Vehicle"
"0","1966-02-08T05:00:00Z","20-47","ANM-100","Exterior Colored Band around Exits on Transport Airplanes"
"0","2000-09-29T05:00:00Z","25.335-1A","ANM-110","Design Dive Speed"
"0","1988-06-21T05:00:00Z","25.1309-1A","ANM-112","System Design and Analysis"
"1","2005-09-16T05:00:00Z","33.4-3","ANE-111","Instructions for Continued Airworthiness, Aircraft Engine High Intensity Radiated Fields (HIRF) and Lightning Protection Features - Including Change 1"
"0","2001-05-21T05:00:00Z","25.1435-1","ANM-110","Hydraulic System Certification Tests and Analysis"
"0","1977-02-04T05:00:00Z","91-46","AFS-350","Gyroscopic Instruments - Good Operating Practices"
"0","1976-01-01T05:00:00Z","65-15A","AFS-630","[Large AC] Airframe and Powerplant Mechanics Airframe Handbook"
"0","2001-03-08T05:00:00Z","33.4-2","ANE-110","Instructions for Continued Airworthiness: In-Service Inspection of Safety Critical Turbine Engine Parts at Piece-Part Opportunity"
"0","1989-05-22T05:00:00Z","25.812-1A","ANM-114","Floor Proximity Emergency Escape Path Marking"
"0","1980-10-31T05:00:00Z","120-39","AFS-331","Hazards of Waste Water Ice Accumulation Separating from Aircraft in Flight"
"0","1977-03-25T05:00:00Z","120-32","AFS-223","Air Transportation of Handicapped Persons"
"0","2007-09-20T05:00:00Z","150/5345-50B","AAS-100","Specification for Portable Runway and Taxiway Lights"
"0","1996-02-09T05:00:00Z","120-50A","AFS-210","Guidelines for Operational Approval of Windshear Training Programs"
"0","2000-09-27T05:00:00Z","25.905-1","ANM-110","Minimizing the Hazards from Propeller Blade and Hub Failures"
"0","2003-09-08T05:00:00Z","39-8","AIR-100","Continued Airworthiness Assessments of Powerplant and Auxiliary Power Unit Installations of Transport Category Airplanes"
"0","2002-04-25T05:00:00Z","36-3H","AEE-100","Estimated Airplane Noise Levels in A-Weighted Decibels"
"0","2008-04-11T05:00:00Z","20-161","AIR-130","Aircraft Onboard Weight and Balance Systems"
"0","2008-10-24T05:00:00Z","25.795-1A","ANM-100","FlightDeck Intrusion Resistance"
"0","2007-12-04T05:00:00Z","25.1701-1","ANM-100","Certification of Electrical Wiring Interconnection Systems on Transport Category Airplanes"
"1","1980-12-12T05:00:00Z","91-44A","AFS-300","Operational and Maintenance Practices for Emergency Locator Transmitters and Receivers - Change 1"
"0","2007-12-03T05:00:00Z","26-1","ANM-100","Part 26, Continued airworthiness and Safety Improvements"
"0","2008-04-14T05:00:00Z","150/5210-7D","AAS-300","Aircraft Rescue and Fire Fighting Communications"
"0","1983-06-23T05:00:00Z","103-6","AFS-820","Ultralight Vehicle Operations-Airports, ATC, and Weather"
"0","2001-06-29T05:00:00Z","33.28-1","ANE-110","Compliance Criteria for 14 CFR §33.28, Aircraft Engines, Electrical and Electronic Engine Control Systems"
"0","2007-09-28T05:00:00Z","150/5370-16","AAS-100","Rapid Construction of Rigid (Portland Cement Concrete) Airfield Pavements"
"0","2004-12-20T05:00:00Z","120-60B","AFS-220","Ground Deicing and Anti-icing Program"
"0","1999-04-26T05:00:00Z","60-11C","AFS-630","Test Aids and Materials that may be used by Airman Knowledge Testing Applicants"
"0","1994-10-11T05:00:00Z","120-63","AFS-205","Helicopter Simulator Qualification"
"0","1985-03-11T05:00:00Z","25.1455-1","ANM-112","Waste Water/Potable Water Drain System Certification Testing"
"1","2001-11-15T05:00:00Z","36-1H","AEE-100","Noise Levels for U.S. Certificated and Foreign Aircraft"
"0","1980-10-10T05:00:00Z","120-38","AFS-260","Transport Category Airplanes Cabin Ozone Concentrations"
"0","1970-03-05T05:00:00Z","39-1A","AFS-340","JIG Fixtures; Replacement of Wing Attach Angles and Doublers on Douglas DC-3 Series Aircraft, Airworthiness Directive 66-18-2"
"0","1986-03-19T05:00:00Z","25.939-1","ANM-112","Evaluating Turbine Engine Operating Characteristics"
"0","1969-07-02T05:00:00Z","91-26","AFS-310","Maintenance and Handling of Airdriven Gyroscopic Instruments"
"0","2002-10-07T05:00:00Z","120-77","AFS-300","Maintenance and Alteration Data"
"0","2008-10-24T05:00:00Z","25.795-3","ANM-100","Flightdeck Protection (Smoke and Fumes)"
"2","2007-03-01T05:00:00Z","90-100A","AFS-400","U.S Terminal and En Route Area Navigation (RNAV) Operations with Change 2"
"0","2008-06-13T05:00:00Z","120-42B","AFS-220","Extended Operations (ETOPS and Polar Operations)"
"0","2007-06-05T05:00:00Z","150/5200-29A","AAS-300","Announcement Of Availability Of Airport Self-Inspection DVD"
"0","2007-07-25T05:00:00Z","33.63-1","ANE-110","Turbine Engine Vibration"
"0","2007-11-27T05:00:00Z","25.1365-1","ANM-100","Electrical Appliances, Motors, and Transformers"
"0","1996-04-24T05:00:00Z","120-64","AFS-200N","Operational Use & Modification of Electronic Checklists"
"0","2008-09-19T05:00:00Z","25.981-2A","ANM-112","Fuel Tank Flammability"
"0","2008-10-24T05:00:00Z","25.795-5","ANM-100","Cargo Compartment Fire Suppression"
"0","1997-05-01T05:00:00Z","00-44II","AGC-200","Status of Federal Aviation Regulations"
"0","2009-06-25T05:00:00Z","33.87-2","ANE-110","Comparative Endurance Test Method to Show Durability for Parts Manufacturer Approval of Turbine Engine and Auxiliary Power Unit Parts"
"0","2007-09-14T05:00:00Z","150/5220-18A","AAS-100","Buildings for Storage and Maintenance of Airport Snow and Ice Control Equipment and Materials"
"1","1974-07-29T05:00:00Z","00-34A","AFS-340","Aircraft Gound Handling and Servicing"
"0","2008-09-30T05:00:00Z","150/5300-15A","AAS-100","Use Of Value Engineering For Engineering And Design Of Airport Grant Projects"
"1","1982-09-20T05:00:00Z","00-31A","AJW-143","United States (U.S.) National Aviation Standard for the Very High Frequency Omnidirectional Radio Range (VOR)/Distance Measuring Equipment (DME)/Tactical Air Navigation (TACAN) Systems"
"0","2004-02-23T05:00:00Z","23-16A","ACE-100","Powerplant Guide for Certification of Part 23 Airplanes and Airships"
"0","2007-04-13T05:00:00Z","20-94A","AFS-350","Digital Clock Installation in Aircraft"
"0","1991-08-05T05:00:00Z","23-10","ACE-111","Auxiliary Fuel Systems for Reciprocating and Turbine Powered Part 23 Airplanes"
"0","2008-09-05T05:00:00Z","150/5000-13A","AAS-100","Announcement Of Availability: RTCA Inc., Document RTCA-221"
"0","2006-06-13T05:00:00Z","93-2","AEE-100","Noise Levels for Aircraft used for Commercial Operations in Grand Canyon National Park Special Flight Rules Area"
"0","2007-10-22T05:00:00Z","25.1353-1A","ANM-100","Electrical equipment and installations"
"0","2004-09-17T05:00:00Z","91-36D","ATO-R","Visual Flight Rules (VFR) Flight Near Noise-Sensitive Areas"
"0","2007-10-22T05:00:00Z","25.1360-1","ANM-100","Protection Against Injury"
"0","2000-12-14T05:00:00Z","120-73","ANM-100","Damage Tolerance Assessment of Repairs to Pressurized Fuselages"
"0","2007-10-22T05:00:00Z","25.1362-1","ANM-100","Electrical Supplies for Emergency Conditions"
"0","2008-10-24T05:00:00Z","25.795-8","ANM-100","Interior Design to Facillitate Searches"
"0","2007-07-20T05:00:00Z","91-78","AFS-800","Use of Class 1 or Class 2 Electronic Flight Bag (EFB)"
"0","1984-07-26T05:00:00Z","11-2A","ARM-1","Notice of Proposed Rulemaking Distribution System"
"0","1997-11-20T05:00:00Z","120-94","ANM-100","Aircraft Electrical Wiring Interconnection Systems Training Program"
"0","1996-09-10T05:00:00Z","25-20","ANM-111","Pressurization, Ventilation and Oxygen Systems Assessment for Subsonic Flight including High Altitude Operation"
"0","2008-09-08T05:00:00Z","150/5320-15A","AAS-100","Management Of Airport Industrial Waste"
"0","2009-04-29T05:00:00Z","00-58B","AFS-230","Voluntary Disclosure Reporting Program"
"1","2007-05-11T05:00:00Z","23-2A","ACE-100","Flammability Tests"
"1","2004-09-30T05:00:00Z","23-21","ACE-100","Airworthiness Compliance Checklists Used to Substantiate Major Alterations for Small Airplanes with Change 1"
"0","2010-02-23T05:00:00Z","91-86","AEE-100","Guidance on Carrying Noise Certification Documents On Board Aircraft Operating Outside the United States"
"","2010-04-30T05:00:00Z","33-9","AIR-600","Developing Data for Major Repairs of Turbine Engine Parts"
"","2010-07-21T05:00:00Z","20-168","AIR-120","Certification Guidance for Installation of Non-Essential, Non-Required Aircraft Cabin Systems & Equipment (CS&E)"
"","2011-02-11T05:00:00Z","21-50","AIR-110","Installation of TSOA Articles and LODA Appliances"
"1","2004-10-22T05:00:00Z","120-84","AFS-309","Aging Aircraft Inspections and Records Reviews"
"0","2007-09-27T05:00:00Z","21-40A","AIR-600","Guide for Obtaining a Supplemental Type Certificate"
"0","2008-09-30T05:00:00Z","150/5210-14B","AAS-300","Aircraft Rescue Fire Fighting Equipment, Tools and Clothing"
"0","2009-09-30T05:00:00Z","129-4A","AFS-50","Maintenance Programs for U.S. Registered Aircraft Operated Under 14 CFR Part 129"
"0","2009-07-31T05:00:00Z","33.70-1","AIR-600","Guidance Material for Aircraft Engine Life-Limited Parts Requirements"
"","2009-09-28T05:00:00Z","150/5200-12C","AAS-300","First Responders’ Responsibility for Protecting Evidence at the Scene of an Aircraft Accident/Incident"
"0","1987-07-22T05:00:00Z","65-23A","AFS-340","Certification of Repairmen (Experimental Aircraft Builders)"
"0","2009-05-18T05:00:00Z","25-17A","ANM-100","Transport Airplane Cabin Interiors Crashworthiness Handbook"
"","2010-01-29T05:00:00Z","21-2L","AIR-40","Complying with the Requirements of Importing Countries or Jurisdictions When Exporting U.S. Products, Articles, or Parts"
"","2010-03-23T05:00:00Z","93-3","AJR-1","Lengthy Tarmac Delays and Associated Airline/Airport Contingency Plans and Related Air Traffic Control Communications"
"0","2010-01-21T05:00:00Z","33.201-1","ANE-111","Extended Operations (ETOPS) Eligibility for Turbine Engines"
"","2011-01-19T05:00:00Z","20-171","AIR-120","Alternatives to RTCA/DO-178B for Software in Airborne Systems and Equipment"
"","2010-08-06T05:00:00Z","21-24A","AIR-200","Extending a Production Certificate to a Facility Located in a Bilateral Airworthiness Agreement Country"
"","2010-09-13T05:00:00Z","33.64-1","ANE-111","Guidance for Pressurized Engine Static Parts"
"","2010-05-04T05:00:00Z","25-27A","ANM-100","Development of Transport Category Airplane Electrical Wiring Interconnection Systems Instructions for Continued Airworthiness Using and Enhanced Zonal Analysis Procedure"
"9","2008-09-30T05:00:00Z","27-1B","AIR-600","Certification of Normal Category Rotorcraft (Changes 1 - 9 incorporated)"
"","2010-08-12T05:00:00Z","21-9B","AIR-200","Manufacturers Reporting Failures, Malfunctions, or Defects"
"","2011-08-04T05:00:00Z","121.321-1","ANM-100","Compliance with Requirements of § 121.321, Operations in Icing"
"0","2011-07-22T05:00:00Z","150/5345-47C","AAS-100","Specification for Series to Series Isolation Transformers for Airport Lighting Systems"
"","2015-09-30T05:00:00Z","150/5300-19","AAS-100","Airport Data and Information Program"
"","2011-10-21T05:00:00Z","35.23-1","ANE-111","Guidance Material for 14 CFR § 35.23, Propeller Control System"
"","2010-11-23T05:00:00Z","150/5220-25","AAS-100","Airport Avian Radar Systems"
"","2012-10-11T05:00:00Z","117-3","AFS-200","Fitness for Duty"
"","2011-12-08T05:00:00Z","20-175","AIR-120","Controls for Flight Deck Systems"
"1","2012-09-20T05:00:00Z","117-1","AFS-220","Flightcrew Member Rest Facilities"
"0","2005-07-08T05:00:00Z","145-10","AFS-300","Repair Station Training Program w/ Change 1"
"1","2007-09-26T05:00:00Z","33.75-1A","ANE-111","Guidance Material For 14 CFR 33.75, Safety Analysis (With Change 1)"
"0","2007-11-14T05:00:00Z","25-26","ANM-100","Development of standard wiring practices documentation"
"1","2003-12-30T05:00:00Z","23-15A","ACE-100","Small Airplane Certification Compliance Program with Change 1"
"9","2008-09-30T05:00:00Z","29-2C","AIR-600","Certification of Transport Category Rotorcraft (Changes 1 - 9 incorporated)"
"0","2010-01-29T05:00:00Z","21-19B","AIR-200","Installation of Used Aircraft Engines in New Production Aircraft"
"","2010-06-07T05:00:00Z","120-100","AFS-200","Basics of Aviation Fatigue"
"","2014-11-06T05:00:00Z","20-166A","AIR-110","Issue Paper Process"
"1","2011-02-23T05:00:00Z","90-101A","AFS-400","Approval Guidance for Required Navigation Performance (RNP) Procedures with Authorization Required (AR) Including Change 1"
"1","2007-07-23T05:00:00Z","91-59A","AFS-300","Inspection and Care of General Aviation Aircraft Exhaust Systems - Change 1"
"","2011-03-24T05:00:00Z","35.37-1B","ANE-111","Propeller Fatigue Limits and Evaluation"
"0","2010-09-24T05:00:00Z","150/5345-12F","AAS-100","Specification for Airport and Heliport Beacons"
"","2011-07-18T05:00:00Z","33.27-1A","ANE-111","Engine and Turbosupercharger Rotor Overspeed Requirements of 14 CFR § 33.27."
"0","2013-09-25T05:00:00Z","150/5340-5D","AAS-100","Segmented Circle Airport Marker System"
"","2013-06-10T05:00:00Z","20-179","AIR-110","Certification Data Retention Agreements and Government Records"
"","2011-09-30T05:00:00Z","150/5370-15B","AAS-100","Airside Applications for Artificial Turf"
"","2011-06-22T05:00:00Z","21-16G","AIR-100","RTCA Document DO-160 versions D, E and F, “Environmental Conditions and Test Procedures for Airborne Equipment”"
"","2013-05-14T05:00:00Z","20-180","AIR-110","Approved Model List Supplemental Type Certificate (AML-STC)"
"","2010-05-11T05:00:00Z","25.785-1B","ANM-100","Flight Attendant Seat and Torso Restraint System Installations"
"","2013-01-17T05:00:00Z","35.16-1","ANE-111","Propeller Critical Parts"
"","2010-08-03T05:00:00Z","45-3A","AIR-200","Installation, Removal or Change of Identification Data and Identification Plates on Aircraft Engines"
